High Temp,Low Temp,Day Average Temp,Precipitation,Dew Point (°„F),Humidity,date,city
44,26,35.46,0,13.67,41.83333333,2020/3/1 0:00,new york city
56,38,48.17,0,30.46,51.125,2020/3/2,new york city
58,48,52.41,0.01,44.59,75.47058824,2020/3/3,new york city
57,46,50.52,0.28,28.52,44.76,2020/3/4,new york city
52,40,44.75,0,25.38,48.5,2020/3/5,new york city
45,37,41.62,0,34.03,74.74358974,2020/3/6,new york city
47,37,41,0.14,16.46,42.125,2020/3/7,new york city
60,37,47.83,0,14.65,27.65217391,2020/3/8,new york city
72,47,59.29,0,22.83,25.75,2020/3/9,new york city
66,55,61,0,40.17,46.83333333,2020/3/10,new york city
56,44,50.42,0,28.54,44.58333333,2020/3/11,new york city
48,42,44.69,0,36.15,72.53846154,2020/3/12,new york city
70,43,54.57,0.17,41.29,70.28571429,2020/3/13,new york city
55,45,48.92,0.12,21.67,34.45833333,2020/3/14,new york city
53,42,46.75,0,19.33,34.875,2020/3/15,new york city
43,34,39.27,0,20.81,48.84615385,2020/3/16,new york city
55,41,47.47,0.08,38.32,71.58823529,2020/3/17,new york city
53,44,47.63,0.07,26.79,44.66666667,2020/3/18,new york city
52,42,46.21,1,40.07,79.44827586,2020/3/19,new york city
77,47,55.95,0.02,47,74.84615385,2020/3/20,new york city
67,42,48.46,0,22.67,37.95833333,2020/3/21,new york city
43,35,38.38,0,15.17,39.79166667,2020/3/22,new york city
42,37,39.16,0,33.48,80.8,2020/3/23,new york city
53,37,44.04,1.44,32.04,64.11111111,2020/3/24,new york city
45,41,42.8,0,33.97,70.96666667,2020/3/25,new york city
58,39,47,0.01,32.17,57.58333333,2020/3/26,new york city
67,51,57.46,0,34.75,47.33333333,2020/3/27,new york city
51,45,46.35,0,38.16,74.90322581,2020/3/28,new york city
47,45,45.46,0.42,43.16,91.81081081,2020/3/29,new york city
49,42,45.74,0.01,40.09,80.71428571,2020/3/30,new york city
48,41,44.06,0.14,35.68,73,2020/3/31,new york city
55,39,45.55,0,28.31,53.17241379,2020/4/1,new york city
58,40,49.17,0,27.96,44.75,2020/4/2,new york city
52,46,49.58,0,38.17,65.16666667,2020/4/3,new york city
60,46,50.89,0.08,40.11,67.46428571,2020/4/4,new york city
62,47,52.83,0,43.33,71.08333333,2020/4/5,new york city
66,48,55.75,0.06,32.96,47.375,2020/4/6,new york city
65,54,57.44,0,29.92,36.92,2020/4/7,new york city
62,49,53.69,0.23,45.53,74.875,2020/4/8,new york city
58,48,52.75,0,41.38,67.84375,2020/4/9,new york city
49,40,44.23,0.27,26.42,50.84615385,2020/4/10,new york city
55,40,47.83,0,18.79,32.70833333,2020/4/11,new york city
61,44,53.38,0,33.96,49.375,2020/4/12,new york city
68,53,58.39,0.61,53.09,83.59090909,2020/4/13,new york city
59,48,52.54,1.11,29.92,43.125,2020/4/14,new york city
52,43,47.96,0,21.65,38.80769231,2020/4/15,new york city
48,40,45.65,0,19.52,36.82608696,2020/4/16,new york city
50,39,43.88,0,22.04,44.75,2020/4/17,new york city
47,42,44.28,0.18,36.86,76.51162791,2020/4/18,new york city
61,42,52.67,0.08,27.42,38.625,2020/4/19,new york city
57,50,52.71,0,29.83,42.66666667,2020/4/20,new york city
58,41,50.81,0,38.23,63.06451613,2020/4/21,new york city
51,38,44.25,0.33,15.46,32.41666667,2020/4/22,new york city
49,42,45.08,0,21.35,39.46153846,2020/4/23,new york city
50,43,47,0.41,42.52,84.54761905,2020/4/24,new york city
63,44,53.19,0.2,37,58.46153846,2020/4/25,new york city
50,44,47.58,0,41.61,80.41666667,2020/4/26,new york city
49,41,45.03,0.07,36,71.25806452,2020/4/27,new york city
65,44,52.33,0,33.96,53.08333333,2020/4/28,new york city
