Date,City,UV,levels
3/6/2020,New York City,0,low
3/7/2020,New York City,0,low
6/16/2020,New York City,0,low
10/26/2020,New York City,0,low
12/2/2020,New York City,0,low
12/9/2020,New York City,0,low
12/24/2020,New York City,0,low
12/28/2020,New York City,0,low
12/29/2020,New York City,0,low
1/4/2021,New York City,0,low
1/12/2021,New York City,0,low
1/14/2021,New York City,0,low
1/16/2021,New York City,0,low
1/18/2021,New York City,0,low
1/27/2021,New York City,0,low
2/22/2021,New York City,0,low
7/8/2021,New York City,0,low
7/9/2021,New York City,0,low
7/10/2021,New York City,0,low
7/11/2021,New York City,0,low
7/12/2021,New York City,0,low
7/13/2021,New York City,0,low
7/14/2021,New York City,0,low
7/15/2021,New York City,0,low
10/26/2021,New York City,0,low
10/19/2020,New York City,0.5,low
10/29/2020,New York City,0.5,low
11/30/2020,New York City,0.5,low
12/8/2020,New York City,0.5,low
12/14/2020,New York City,0.5,low
12/20/2020,New York City,0.5,low
1/7/2021,New York City,0.5,low
1/13/2021,New York City,0.5,low
1/17/2021,New York City,0.5,low
10/16/2020,New York City,0.6,low
11/11/2020,New York City,0.6,low
11/27/2020,New York City,0.6,low
12/13/2020,New York City,0.6,low
12/17/2020,New York City,0.6,low
12/25/2020,New York City,0.6,low
1/5/2021,New York City,0.6,low
1/10/2021,New York City,0.6,low
1/21/2021,New York City,0.6,low
1/26/2021,New York City,0.6,low
3/28/2021,New York City,0.6,low
3/10/2020,New York City,0.7,low
3/11/2020,New York City,0.7,low
11/15/2020,New York City,0.7,low
11/23/2020,New York City,0.7,low
11/25/2020,New York City,0.7,low
12/4/2020,New York City,0.7,low
12/5/2020,New York City,0.7,low
12/7/2020,New York City,0.7,low
12/12/2020,New York City,0.7,low
1/6/2021,New York City,0.7,low
2/3/2021,New York City,0.7,low
3/18/2021,New York City,0.7,low
3/1/2020,New York City,0.8,low
3/4/2020,New York City,0.8,low
3/23/2020,New York City,0.8,low
11/16/2020,New York City,0.8,low
11/20/2020,New York City,0.8,low
12/6/2020,New York City,0.8,low
12/27/2020,New York City,0.8,low
1/2/2021,New York City,0.8,low
1/19/2021,New York City,0.8,low
2/9/2021,New York City,0.8,low
10/20/2020,New York City,0.9,low
11/17/2020,New York City,0.9,low
11/22/2020,New York City,0.9,low
12/18/2020,New York City,0.9,low
12/26/2020,New York City,0.9,low
1/1/2021,New York City,0.9,low
1/11/2021,New York City,0.9,low
3/31/2021,New York City,0.9,low
4/29/2021,New York City,0.9,low
10/4/2021,New York City,0.9,low
3/8/2020,New York City,1,low
12/19/2020,New York City,1,low
12/30/2020,New York City,1,low
12/31/2020,New York City,1,low
1/3/2021,New York City,1,low
1/22/2021,New York City,1,low
3/24/2021,New York City,1,low
4/12/2021,New York City,1,low
10/31/2021,New York City,1,low
10/13/2020,New York City,1.1,low
10/22/2020,New York City,1.1,low
11/14/2020,New York City,1.1,low
11/18/2020,New York City,1.1,low
11/26/2020,New York City,1.1,low
12/16/2020,New York City,1.1,low
12/21/2020,New York City,1.1,low
1/9/2021,New York City,1.1,low
9/1/2021,New York City,1.1,low
10/5/2021,New York City,1.1,low
8/4/2020,New York City,1.2,low
9/17/2020,New York City,1.2,low
11/1/2020,New York City,1.2,low
12/10/2020,New York City,1.2,low
12/23/2020,New York City,1.2,low
1/15/2021,New York City,1.2,low
2/2/2021,New York City,1.2,low
2/7/2021,New York City,1.2,low
2/23/2021,New York City,1.2,low
3/2/2020,New York City,1.3,low
3/3/2020,New York City,1.3,low
9/29/2020,New York City,1.3,low
10/28/2020,New York City,1.3,low
11/24/2020,New York City,1.3,low
11/28/2020,New York City,1.3,low
12/11/2020,New York City,1.3,low
12/22/2020,New York City,1.3,low
1/31/2021,New York City,1.3,low
2/15/2021,New York City,1.3,low
2/16/2021,New York City,1.3,low
5/5/2021,New York City,1.3,low
8/27/2020,New York City,1.4,low
12/1/2020,New York City,1.4,low
12/3/2020,New York City,1.4,low
12/15/2020,New York City,1.4,low
1/8/2021,New York City,1.4,low
1/23/2021,New York City,1.4,low
2/1/2021,New York City,1.4,low
2/19/2021,New York City,1.4,low
2/27/2021,New York City,1.4,low
3/17/2020,New York City,1.5,low
3/28/2020,New York City,1.5,low
11/29/2020,New York City,1.5,low
1/20/2021,New York City,1.5,low
1/30/2021,New York City,1.5,low
2/14/2021,New York City,1.5,low
2/28/2021,New York City,1.5,low
3/16/2021,New York City,1.5,low
5/28/2021,New York City,1.5,low
9/12/2021,New York City,1.5,low
10/16/2021,New York City,1.5,low
3/14/2020,New York City,1.6,low
9/13/2020,New York City,1.6,low
10/27/2020,New York City,1.6,low
11/21/2020,New York City,1.6,low
1/24/2021,New York City,1.6,low
1/25/2021,New York City,1.6,low
2/18/2021,New York City,1.6,low
10/3/2021,New York City,1.6,low
10/30/2021,New York City,1.6,low
3/9/2020,New York City,1.7,low
11/12/2020,New York City,1.7,low
11/13/2020,New York City,1.7,low
11/19/2020,New York City,1.7,low
1/29/2021,New York City,1.8,low
9/23/2021,New York City,1.8,low
10/25/2021,New York City,1.8,low
10/24/2020,New York City,1.9,low
1/28/2021,New York City,1.9,low
2/12/2021,New York City,1.9,low
4/26/2020,New York City,2,low
10/18/2020,New York City,2,low
10/21/2020,New York City,2,low
10/25/2020,New York City,2,low
11/6/2020,New York City,2,low
2/4/2021,New York City,2,low
2/8/2021,New York City,2,low
4/30/2021,New York City,2,low
5/8/2021,New York City,2,low
9/15/2021,New York City,2,low
10/21/2021,New York City,2,low
3/5/2020,New York City,2.1,low
11/3/2020,New York City,2.1,low
11/4/2020,New York City,2.1,low
11/7/2020,New York City,2.1,low
2/6/2021,New York City,2.1,low
3/6/2021,New York City,2.1,low
10/27/2021,New York City,2.1,low
10/28/2021,New York City,2.1,low
10/3/2020,New York City,2.2,low
11/2/2020,New York City,2.2,low
11/5/2020,New York City,2.2,low
11/8/2020,New York City,2.2,low
2/5/2021,New York City,2.2,low
2/21/2021,New York City,2.2,low
4/16/2021,New York City,2.2,low
5/30/2021,New York City,2.2,low
9/22/2021,New York City,2.2,low
10/17/2021,New York City,2.2,low
10/18/2021,New York City,2.2,low
10/23/2021,New York City,2.2,low
10/29/2021,New York City,2.2,low
10/31/2020,New York City,2.3,low
11/9/2020,New York City,2.3,low
11/10/2020,New York City,2.3,low
2/10/2021,New York City,2.3,low
2/11/2021,New York City,2.3,low
3/1/2021,New York City,2.3,low
3/14/2021,New York City,2.3,low
4/15/2021,New York City,2.3,low
3/30/2020,New York City,2.4,low
4/3/2020,New York City,2.4,low
5/1/2020,New York City,2.4,low
10/7/2020,New York City,2.4,low
10/30/2020,New York City,2.4,low
2/24/2021,New York City,2.4,low
4/21/2021,New York City,2.4,low
9/5/2021,New York City,2.4,low
10/24/2021,New York City,2.4,low
3/12/2020,New York City,2.5,moderate
10/17/2020,New York City,2.5,moderate
10/23/2020,New York City,2.5,moderate
2/17/2021,New York City,2.5,moderate
4/1/2021,New York City,2.5,moderate
4/13/2020,New York City,2.6,moderate
4/24/2020,New York City,2.6,moderate
4/27/2020,New York City,2.6,moderate
9/15/2020,New York City,2.6,moderate
2/13/2021,New York City,2.6,moderate
2/20/2021,New York City,2.6,moderate
10/19/2021,New York City,2.6,moderate
10/20/2021,New York City,2.6,moderate
3/29/2020,New York City,2.7,moderate
4/5/2020,New York City,2.7,moderate
4/12/2020,New York City,2.7,moderate
10/5/2020,New York City,2.7,moderate
3/2/2021,New York City,2.7,moderate
8/18/2021,New York City,2.7,moderate
9/30/2021,New York City,2.7,moderate
10/22/2021,New York City,2.7,moderate
5/4/2020,New York City,2.8,moderate
10/10/2020,New York City,2.8,moderate
3/5/2021,New York City,2.8,moderate
7/29/2021,New York City,2.8,moderate
3/3/2021,New York City,2.9,moderate
3/7/2021,New York City,2.9,moderate
10/13/2021,New York City,2.9,moderate
10/12/2020,New York City,3,moderate
10/14/2020,New York City,3,moderate
3/4/2021,New York City,3,moderate
8/1/2021,New York City,3,moderate
4/9/2020,New York City,3.1,moderate
9/27/2020,New York City,3.1,moderate
